"Date","Price","Open","High","Low","Change %"
"Aug 17","6.74","6.70","6.72","6.54","0.60%"
"Jul 17","6.70","6.52","6.71","6.45","2.76%"
"Jun 17","6.52","6.41","6.41","6.41","-3.69%"
"May 17","6.77","6.77","6.77","6.77","-1.60%"
"Apr 17","6.88","6.88","6.88","6.88","-1.57%"
"Mar 17","6.99","6.99","6.99","6.99","-3.32%"
"Feb 17","7.23","7.29","7.36","7.19","0.14%"
"Jan 17","7.22","7.14","7.30","7.08","0.84%"
"Dec 16","7.16","7.11","7.23","7.03","1.85%"
"Nov 16","7.03","6.94","7.03","6.73","0.86%"
"Oct 16","6.97","7.02","7.13","6.97","-0.57%"
"Sep 16","7.01","6.73","7.01","6.73","3.39%"
"Aug 16","6.78","6.79","7.12","6.76","-1.88%"
"Jul 16","6.91","7.36","7.36","6.81","-4.95%"
"Jun 16","7.27","6.98","7.35","6.98","4.91%"
"May 16","6.93","6.91","7.00","6.67","-0.72%"
"Apr 16","6.98","6.34","6.98","6.26","8.72%"
"Mar 16","6.42","6.07","6.56","6.07","5.94%"
"Feb 16","6.06","6.09","6.11","5.84","-2.26%"
"Jan 16","6.20","6.27","6.27","5.81","-1.74%"
"Dec 15","6.31","6.73","6.73","6.26","-5.40%"
"Nov 15","6.67","7.17","7.25","6.67","-7.49%"
"Oct 15","7.21","7.18","7.53","7.16","0.00%"
"Sep 15","7.21","7.48","7.53","7.14","-6.12%"
"Aug 15","7.68","3.84","7.86","3.84","95.92%"
"Jul 15","3.92","4.34","4.37","3.92","-10.71%"
"Jun 15","4.39","4.37","4.43","4.27","0.46%"
"May 15","4.37","4.49","4.57","4.33","-3.10%"
"Apr 15","4.51","4.34","4.51","4.29","6.12%"
"Mar 15","4.25","4.44","4.45","4.16","-5.97%"
"Feb 15","4.52","4.41","4.54","4.39","2.96%"
"Jan 15","4.39","4.47","4.47","4.29","-2.01%"
"Dec 14","4.48","4.89","4.89","4.48","-9.68%"
"Nov 14","4.96","4.96","4.96","4.96","-4.25%"
"Oct 14","5.18","5.18","5.18","5.18","-0.77%"
"Sep 14","5.22","5.22","5.22","5.22","-7.94%"
"Aug 14","5.67","5.67","5.67","5.67","-1.05%"
"Jul 14","5.73","5.73","5.73","5.73","-5.29%"
"Jun 14","6.05","6.05","6.05","6.05","1.17%"
"May 14","5.98","5.98","5.98","5.98","-1.81%"
"Apr 14","6.09","6.09","6.09","6.09","3.05%"
"Mar 14","5.91","5.91","5.91","5.91","0.00%"
"Feb 14","5.91","5.91","5.91","5.91","6.87%"
"Jan 14","5.53","5.53","5.53","5.53","0.73%"
"Dec 13","5.49","5.49","5.49","5.49","-1.61%"
"Nov 13","5.58","5.58","5.58","5.58","-1.24%"
"Oct 13","5.65","5.65","5.65","5.65","-1.05%"
"Sep 13","5.71","5.71","5.71","5.71","-1.21%"
"Aug 13","5.78","5.78","5.78","5.78","1.94%"
"Jul 13","5.67","5.67","5.67","5.67","2.53%"
"Jun 13","5.53","5.53","5.53","5.53","-9.05%"
"May 13","6.08","6.08","6.08","6.08","-5.15%"
"Apr 13","6.41","6.41","6.41","6.41","-2.44%"
"Mar 13","6.57","6.57","6.57","6.57","0.46%"
"Feb 13","6.54","6.54","6.54","6.54","-3.96%"
"Jan 13","6.81","6.81","6.81","6.81","2.56%"
