"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 17","85.12","92.08","92.40","79.04","75.17M","-7.07%"
"Feb 17","91.60","91.36","93.20","88.32","48.21M","1.15%"
"Jan 17","90.56","95.84","96.00","88.51","53.35M","-3.41%"
"Dec 16","93.76","90.52","95.52","88.56","83.02M","7.23%"
"Nov 16","87.44","85.20","88.80","76.48","119.91M","3.80%"
"Oct 16","84.24","88.32","94.32","84.24","121.96M","-3.66%"
"Sep 16","87.44","81.52","88.24","78.56","122.95M","5.50%"
"Aug 16","82.88","76.96","91.00","73.84","92.72M","6.15%"
"Jul 16","78.08","92.16","94.24","76.40","61.37M","-15.64%"
"Jun 16","92.56","92.96","99.60","87.68","64.93M","-2.53%"
"May 16","94.96","89.92","97.04","85.04","59.73M","5.04%"
"Apr 16","90.40","75.28","92.00","71.92","94.13M","16.49%"
"Mar 16","77.60","71.84","86.40","71.12","109.44M","7.78%"
"Feb 16","72.00","74.76","77.20","61.36","136.91M","-6.74%"
"Jan 16","77.20","90.08","91.36","63.36","156.07M","-12.27%"
"Dec 15","88.00","103.36","104.88","84.16","93.10M","-14.93%"
"Nov 15","103.44","117.52","123.60","102.48","64.68M","-12.69%"
"Oct 15","118.48","121.20","129.59","108.88","76.80M","0.89%"
"Sep 15","117.44","123.84","126.80","113.28","76.74M","-7.61%"
"Aug 15","127.12","122.32","129.20","98.96","85.62M","1.92%"
"Jul 15","124.72","156.32","156.64","124.32","66.35M","-21.58%"
"Jun 15","159.04","162.88","166.40","153.84","41.67M","-2.12%"
"May 15","162.48","162.40","172.00","152.73","53.64M","-0.98%"
"Apr 15","164.08","136.00","164.40","135.44","72.10M","21.79%"
"Mar 15","134.72","145.04","152.80","124.88","82.54M","-6.96%"
"Feb 15","144.80","147.20","162.32","140.64","93.90M","1.57%"
"Jan 15","142.56","159.76","162.80","130.40","83.01M","-12.48%"
"Dec 14","162.88","202.48","211.12","158.72","60.34M","-20.41%"
"Nov 14","204.64","244.08","245.76","203.68","26.09M","-16.49%"
"Oct 14","245.04","276.80","279.84","241.28","22.06M","-10.99%"
"Sep 14","275.28","282.24","286.08","271.30","12.15M","-3.78%"
"Aug 14","286.08","288.96","292.44","276.64","9.09M","-1.53%"
"Jul 14","290.52","312.16","312.96","290.16","9.60M","-6.60%"
"Jun 14","311.04","300.16","315.48","297.68","5.75M","3.18%"
"May 14","301.44","288.24","306.16","287.68","5.18M","3.74%"
"Apr 14","290.56","291.60","302.48","285.04","7.18M","-0.74%"
"Mar 14","292.72","299.12","301.92","279.76","8.28M","-0.41%"
"Feb 14","293.92","278.40","296.88","274.88","8.88M","5.57%"
"Jan 14","278.40","277.52","281.44","261.44","14.63M","-1.47%"
"Dec 13","282.56","267.76","288.56","267.36","12.88M","5.56%"
"Nov 13","267.68","275.60","275.60","263.56","13.70M","-3.55%"
"Oct 13","277.52","292.88","300.72","276.72","17.33M","-5.86%"
"Sep 13","294.80","306.00","316.32","291.20","15.24M","-4.24%"
"Aug 13","307.84","304.80","315.68","290.80","18.46M","3.00%"
"Jul 13","298.88","276.88","308.96","275.68","16.33M","9.30%"
"Jun 13","273.44","263.44","280.44","262.28","13.04M","4.81%"
"May 13","260.88","258.96","276.72","256.96","17.94M","-1.66%"
"Apr 13","265.28","275.44","278.88","246.32","17.26M","-4.58%"
"Mar 13","278.00","261.28","278.72","257.28","10.66M","5.11%"
"Feb 13","264.48","280.16","284.16","263.68","12.00M","-6.29%"
"Jan 13","282.24","272.00","284.24","268.56","11.44M","5.72%"
