Date	Price	Open	High	Low	Vol.	Change %
07-01-2017	"2,856.00"	"2,420.60"	"2,919.90"	"1,835.80"	942.61K	17.98%
06-01-2017	"2,420.70"	"2,191.80"	"3,000.00"	"2,050.00"	649.18K	10.44%
05-01-2017	"2,191.80"	"1,435.00"	"2,689.00"	"1,432.00"	744.19K	52.72%
04-01-2017	"1,435.20"	"1,081.30"	"1,449.70"	"1,070.20"	422.01K	32.68%
03-01-2017	"1,081.70"	"1,189.10"	"1,328.80"	891	1.04M	-9.03%
02-01-2017	"1,189.10"	966.2	"1,222.20"	936.4	477.67K	23.07%
01-01-2017	966.2	966.6	"1,166.00"	738.7	699.43K	-0.04%
12-01-2016	966.6	739	983	738.8	288.28K	36.50%
11-01-2016	708.1	704.1	753.7	676	136.63K	0.57%
10-01-2016	704.1	611.1	724	607	197.71K	15.22%
09-01-2016	611.1	576.2	636.2	570.6	129.69K	1.16%
08-01-2016	604.1	604.1	604.1	604.1		-3.14%
07-01-2016	623.7	674.7	707	610.1	657.72K	-7.57%
06-01-2016	674.7	530.7	789.7	530.7	1.68M	27.14%
05-01-2016	530.7	446.6	567	433	604.03K	18.83%
04-01-2016	446.6	416	472	412	366.05K	7.35%
03-01-2016	416	439.2	442.8	389.7	416.35K	-5.27%
02-01-2016	439.2	365.5	451.2	363.3	643.44K	20.15%
01-01-2016	365.5	429	465	353.2	893.30K	-14.81%
12-01-2015	429	376.9	475	346.2	1.15M	13.83%
11-01-2015	376.9	316	503.4	300.8	1.64M	19.27%
10-01-2015	316	236.5	336	236.2	571.39K	33.62%
09-01-2015	236.5	231.4	247.7	224.5	294.47K	2.22%
08-01-2015	231.4	284.5	287	171	706.78K	-18.67%
07-01-2015	284.5	262.9	316	252.1	753.53K	8.20%
06-01-2015	262.9	228.7	268.9	219.8	591.71K	14.95%
05-01-2015	228.7	236.1	243	227.1	476.35K	-3.14%
04-01-2015	236.1	244.5	240.2	214	733.27K	-3.36%
03-01-2015	244.3	255.7	248.8	242	1.24M	-4.45%
02-01-2015	255.7	221.4	268.3	217.8	749.17K	17.61%
01-01-2015	217.4	317.5	317.5	164.9	89.12K	-31.42%
12-01-2014	317	376.7	383.1	303.6	47.44K	-15.85%
11-01-2014	376.7	337.7	445	321	45.39K	11.79%
10-01-2014	337	387	405.8	285.1	79.45K	-12.95%
09-01-2014	387.1	487.4	494.3	367.3	45.40K	-34.93%
08-01-2014	594.9	578	606.1	578	2.06K	2.74%
07-01-2014	579	650	662	550	35.96K	-9.53%
06-01-2014	640	638	693.9	545.3	33.23K	0.69%
05-01-2014	635.6	450.8	635.6	419.8	27.49K	41.79%
04-01-2014	448.3	460.3	522.8	325	14.79K	-0.83%
03-01-2014	452	565	685	440.4	9.48K	-20.00%
02-01-2014	565	801.9	814.6	425	5.40K	-29.38%
01-01-2014	800	740	950	731	5.05K	9.93%
12-01-2013	727.7	998.1	"1,200.00"	408.7	5.65K	-34.58%
11-01-2013	"1,112.40"	198.5	"1,124.40"	198.5	2.43K	461.14%
10-01-2013	198.2	125.5	200.6	99.8		61.03%
09-01-2013	123.1	128.3	128.3	116.3		-4.91%
08-01-2013	129.5	96.4	129.5	93.3		32.22%
07-01-2013	97.9	84.6	97.9	66.3		0.41%
06-01-2013	97.5	129.3	129.3	94.7		-24.31%
05-01-2013	128.8	116.4	133.5	98.1		-7.48%
04-01-2013	139.2	104	230	68.4		49.66%
03-01-2013	93	34.5	93	34.3		178.70%
02-01-2013	33.4	20.5	33.4	19.6		63.55%
01-01-2013	20.4	13.3	20.4	13.3		51.07%
